rollout/success_rate,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed
0.0,0.7743788361549377,200,-50.0,4,99,0.15247002243995667,50.0,0.001,17,11
0.0,1.286927342414856,400,-50.0,8,299,0.083823062479496,50.0,0.001,12,32
0.08333333333333333,1.471924901008606,554,-46.083333333333336,12,453,0.08239743113517761,46.166666666666664,0.001,11,48
0.0625,1.8096730709075928,754,-47.0625,16,653,0.07389126718044281,47.125,0.001,10,74
0.05,1.9084666967391968,954,-47.65,20,853,0.07158404588699341,47.7,0.001,9,100
0.041666666666666664,2.1839985847473145,1154,-48.041666666666664,24,1053,0.06668109446763992,48.083333333333336,0.001,9,124
0.03571428571428571,2.481142044067383,1354,-48.32142857142857,28,1253,0.06324701756238937,48.357142857142854,0.001,9,146
0.03125,2.394113063812256,1554,-48.53125,32,1453,0.05547178164124489,48.5625,0.001,8,175
0.027777777777777776,2.7295870780944824,1754,-48.69444444444444,36,1653,0.06323528289794922,48.72222222222222,0.001,8,205
0.05,2.885404109954834,1907,-47.625,40,1806,0.0654311552643776,47.675,0.001,8,226
0.09090909090909091,2.498012065887451,2012,-45.63636363636363,44,1911,0.06376630812883377,45.72727272727273,0.001,8,241
0.08333333333333333,2.57490611076355,2212,-46.0,48,2111,0.09234578162431717,46.083333333333336,0.001,8,266
0.1346153846153846,2.8439745903015137,2296,-44.01923076923077,52,2195,0.06830812245607376,44.15384615384615,0.001,8,274
0.14285714285714285,2.5516841411590576,2475,-44.05357142857143,56,2374,0.09095945954322815,44.19642857142857,0.001,8,296
0.16666666666666666,2.4647433757781982,2601,-43.18333333333333,60,2500,0.08965364843606949,43.35,0.001,8,312
0.1875,2.547924518585205,2723,-42.359375,64,2622,0.1095527932047844,42.546875,0.001,8,326
0.22058823529411764,2.300597667694092,2802,-40.98529411764706,68,2701,0.08352582156658173,41.205882352941174,0.001,8,335
0.25,2.553462028503418,2860,-39.47222222222222,72,2759,0.11425748467445374,39.72222222222222,0.001,8,341
0.2631578947368421,2.5515341758728027,2963,-38.723684210526315,76,2862,0.08435047417879105,38.98684210526316,0.001,8,355
0.25,2.2468392848968506,3163,-39.2875,80,3062,0.0767209380865097,39.5375,0.001,8,380
0.27380952380952384,2.224062442779541,3256,-38.48809523809524,84,3155,0.09327026456594467,38.76190476190476,0.001,8,394
0.3068181818181818,2.539426326751709,3275,-36.90909090909091,88,3174,0.12071382999420166,37.21590909090909,0.001,8,396
0.32608695652173914,2.4219179153442383,3350,-36.08695652173913,92,3249,0.10722963511943817,36.41304347826087,0.001,8,404
0.34375,2.6534829139709473,3435,-35.4375,96,3334,0.08632203191518784,35.78125,0.001,8,413
0.37,2.4069042205810547,3460,-34.23,100,3359,0.10053480416536331,34.6,0.001,8,416
0.38,2.172236442565918,3617,-33.79,104,3516,0.12045412510633469,34.17,0.001,8,434
0.42,2.4092533588409424,3635,-31.93,108,3534,0.11796754598617554,32.35,0.001,8,437
0.44,2.4003312587738037,3700,-31.02,112,3599,0.12977807223796844,31.46,0.001,8,444
0.48,2.445439577102661,3728,-29.26,116,3627,0.10663829743862152,29.74,0.001,8,448
0.51,1.972707986831665,3797,-27.92,120,3696,0.09742838144302368,28.43,0.001,8,454
0.53,2.026592969894409,3909,-27.02,124,3808,0.09752742946147919,27.55,0.001,8,466
0.56,2.113088846206665,3980,-25.7,128,3879,0.12318166345357895,26.26,0.001,8,475
0.59,2.211874008178711,4049,-24.36,132,3948,0.08584574609994888,24.95,0.001,8,483
0.63,1.888381004333496,4078,-22.61,136,3977,0.0945247933268547,23.24,0.001,8,486
0.66,2.2347054481506348,4111,-21.38,140,4010,0.1386326402425766,22.04,0.001,8,491
0.67,2.000501871109009,4181,-21.02,144,4080,0.1154419556260109,21.69,0.001,8,498
0.71,2.0212435722351074,4204,-19.21,148,4103,0.10243552923202515,19.92,0.001,8,501
0.72,1.9547436237335205,4221,-18.53,152,4120,0.12123233824968338,19.25,0.001,8,504
0.75,1.7198333740234375,4248,-16.98,156,4147,0.12052377313375473,17.73,0.001,8,508
0.77,1.9472620487213135,4272,-15.94,160,4171,0.0842173770070076,16.71,0.001,8,510
0.79,1.8671506643295288,4285,-14.83,164,4184,0.07469048351049423,15.62,0.001,8,511
0.8,1.6479828357696533,4307,-14.25,168,4206,0.15480615198612213,15.05,0.001,8,513
0.81,1.5895555019378662,4334,-13.93,172,4233,0.07014098763465881,14.74,0.001,8,517
0.83,1.8896098136901855,4365,-13.19,176,4264,0.1591571569442749,14.02,0.001,8,521
0.87,1.8145291805267334,4388,-11.38,180,4287,0.10685484111309052,12.25,0.001,8,523
0.88,1.6632286310195923,4413,-10.69,184,4312,0.0813935175538063,11.57,0.001,8,526
0.88,1.7712438106536865,4435,-10.72,188,4334,0.1566283404827118,11.6,0.001,8,528
0.89,1.4155395030975342,4450,-10.11,192,4349,0.10406887531280518,11.0,0.001,8,529
0.9,1.693408489227295,4490,-9.65,196,4389,0.13299384713172913,10.55,0.001,8,533
0.9,1.7062726020812988,4511,-9.61,200,4410,0.08524733036756516,10.51,0.001,8,535
0.93,1.750980257987976,4529,-8.19,204,4428,0.1492914855480194,9.12,0.001,8,541
0.93,1.664138674736023,4547,-8.19,208,4446,0.0861734002828598,9.12,0.001,8,544
0.94,1.5726802349090576,4562,-7.68,212,4461,0.0843506008386612,8.62,0.001,8,546
0.94,1.5193204879760742,4588,-7.66,216,4487,0.09198958426713943,8.6,0.001,8,552
0.95,1.8863193988800049,4602,-7.1,220,4501,0.10121721774339676,8.05,0.001,8,553
0.97,1.623964548110962,4618,-6.12,224,4517,0.13776391744613647,7.09,0.001,8,556
0.98,1.5178109407424927,4637,-5.59,228,4536,0.10084885358810425,6.57,0.001,8,558
0.99,1.7348779439926147,4655,-5.07,232,4554,0.1010553240776062,6.06,0.001,8,561
0.99,1.3936916589736938,4676,-4.99,236,4575,0.11510229110717773,5.98,0.001,8,563
0.99,1.4800599813461304,4698,-4.88,240,4597,0.08734631538391113,5.87,0.001,8,567
1.0,1.5631742477416992,4713,-4.32,244,4612,0.08064329624176025,5.32,0.001,8,570
0.99,1.5197726488113403,4774,-4.71,248,4673,0.10431692004203796,5.7,0.001,8,578
0.99,1.5606627464294434,4795,-4.75,252,4694,0.11044276505708694,5.74,0.001,8,580
0.99,1.5353927612304688,4810,-4.63,256,4709,0.13715019822120667,5.62,0.001,8,581
0.99,1.7027952671051025,4830,-4.59,260,4729,0.1045670434832573,5.58,0.001,8,583
0.99,1.725907802581787,4847,-4.63,264,4746,0.10043173283338547,5.62,0.001,8,584
0.99,1.471431851387024,4872,-4.66,268,4771,0.08568770438432693,5.65,0.001,8,587
0.99,1.454970359802246,4890,-4.57,272,4789,0.09942884743213654,5.56,0.001,8,588
0.99,1.5903520584106445,4908,-4.44,276,4807,0.08206136524677277,5.43,0.001,8,590
0.99,1.560821294784546,4926,-4.39,280,4825,0.07947319000959396,5.38,0.001,8,592
0.99,1.623396396636963,4945,-4.33,284,4844,0.08319049328565598,5.32,0.001,8,594
0.99,1.2643113136291504,4965,-4.31,288,4864,0.10758233815431595,5.3,0.001,8,597
0.99,1.5019160509109497,4985,-4.36,292,4884,0.0849316418170929,5.35,0.001,8,600
0.99,1.5795615911483765,5001,-4.12,296,4900,0.10161364823579788,5.11,0.001,8,603
0.98,1.692237138748169,5068,-4.59,300,4967,0.08452931046485901,5.57,0.001,8,611
0.98,1.5771443843841553,5108,-4.81,304,5007,0.09401554614305496,5.79,0.001,8,617
0.98,1.3979923725128174,5128,-4.83,308,5027,0.08437900990247726,5.81,0.001,8,622
0.98,1.2649874687194824,5144,-4.84,312,5043,0.11944286525249481,5.82,0.001,8,625
0.98,1.2736177444458008,5163,-4.77,316,5062,0.10464586317539215,5.75,0.001,8,628
0.98,1.4537948369979858,5187,-4.87,320,5086,0.10236216336488724,5.85,0.001,8,632
0.98,1.3292453289031982,5201,-4.85,324,5100,0.09008186310529709,5.83,0.001,8,634
0.98,1.2445759773254395,5215,-4.8,328,5114,0.07965521514415741,5.78,0.001,8,636
0.98,1.275627613067627,5231,-4.78,332,5130,0.08001096546649933,5.76,0.001,8,639
0.98,1.515397310256958,5249,-4.75,336,5148,0.09865792095661163,5.73,0.001,8,642
0.98,1.1701250076293945,5262,-4.66,340,5161,0.1081884428858757,5.64,0.001,8,646
