rollout/ep_len_mean,rollout/success_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/actor_loss
50.0,0.0,0.003288638312369585,15,99,12,200,4,-25.110619749999998,0.001,0.22410765290260315
50.0,0.0,0.0015240284847095609,10,299,38,400,8,-23.291825125,0.001,0.36697936058044434
50.0,0.0,0.00086403195746243,10,499,54,600,12,-25.755142666666668,0.001,0.5545661449432373
50.0,0.0,0.001096127089112997,10,699,75,800,16,-25.479398250000003,0.001,0.6377785205841064
47.75,0.05,0.0005082812858745456,9,854,96,955,20,-21.9190484,0.001,0.7786210179328918
46.25,0.08333333333333333,0.00042679617763496935,9,1009,112,1110,24,-19.345896,0.001,0.6633614897727966
45.214285714285715,0.10714285714285714,0.0008175231050699949,9,1165,129,1266,28,-18.165336785714285,0.001,0.8315377235412598
43.09375,0.15625,0.000813500490039587,9,1278,138,1379,32,-16.31659953125,0.001,0.701094388961792
38.888888888888886,0.25,0.0015480398433282971,9,1299,141,1400,36,-14.558283055555556,0.001,0.9138250946998596
38.9,0.25,0.0009413359221071005,9,1455,162,1556,40,-13.667073825,0.001,0.7460036873817444
37.84090909090909,0.2727272727272727,0.001093706930987537,9,1564,173,1665,44,-12.775177636363635,0.001,0.7711960077285767
36.083333333333336,0.3125,0.002082090126350522,9,1631,183,1732,48,-11.898155208333334,0.001,0.6816262602806091
34.61538461538461,0.34615384615384615,0.0022155942860990763,9,1699,192,1800,52,-11.096430038461536,0.001,0.6120498776435852
33.285714285714285,0.375,0.000898588914424181,9,1763,201,1864,56,-10.441079624999999,0.001,0.7128308415412903
31.433333333333334,0.4166666666666667,0.001388265867717564,9,1785,204,1886,60,-9.781131533333332,0.001,0.6485904455184937
30.4375,0.4375,0.001228796667419374,9,1847,212,1948,64,-9.272945953125,0.001,0.8385812640190125
29.691176470588236,0.45588235294117646,0.001854537520557642,9,1918,222,2019,68,-8.813601470588235,0.001,0.7249498963356018
28.958333333333332,0.4722222222222222,0.001567318569868803,9,1984,230,2085,72,-8.519462763888889,0.001,0.6606540083885193
27.644736842105264,0.5,0.0013725953176617622,9,2000,232,2101,76,-8.092763078947367,0.001,0.7130740880966187
27.1,0.5125,0.0017807476688176394,9,2067,240,2168,80,-7.784119199999999,0.001,0.6452082991600037
27.11904761904762,0.5119047619047619,0.0008831854211166501,8,2177,255,2278,84,-7.58551061904762,0.001,0.5368043184280396
26.056818181818183,0.5340909090909091,0.0012544894125312567,8,2192,257,2293,88,-7.253104977272727,0.001,0.5468708276748657
25.097826086956523,0.5543478260869565,0.0010796375572681427,8,2208,259,2309,92,-6.955469608695652,0.001,0.5847015976905823
24.229166666666668,0.5729166666666666,0.001274488284252584,8,2225,261,2326,96,-6.6787893020833335,0.001,0.5933157205581665
23.89,0.58,0.0020728709641844034,8,2288,269,2389,100,-6.478628270000001,0.001,0.5520501732826233
22.53,0.61,0.0013013146817684174,8,2352,277,2453,104,-5.54296989,0.001,0.5963060259819031
20.98,0.65,0.0018039192073047161,8,2397,282,2498,108,-4.72337051,0.001,0.5405757427215576
19.22,0.69,0.0016093068988993764,8,2421,286,2522,112,-3.5221508199999993,0.001,0.6333668828010559
17.38,0.73,0.0012387125752866268,8,2437,288,2538,116,-2.54920496,0.001,0.41659995913505554
15.99,0.76,0.001586281694471836,8,2453,290,2554,120,-2.2560750400000003,0.001,0.4224388301372528
15.06,0.78,0.001458482351154089,8,2515,296,2616,124,-2.0544264199999995,0.001,0.5953402519226074
14.61,0.79,0.0017558468971401453,8,2626,308,2727,128,-1.71769019,0.001,0.5024089217185974
13.66,0.81,0.0016164422268047929,8,2644,309,2745,132,-1.60017118,0.001,0.4457395672798157
13.66,0.81,0.0014807109255343676,8,2665,311,2766,136,-1.6018827199999999,0.001,0.510051429271698
12.34,0.84,0.0015086238272488117,8,2689,313,2790,140,-1.40200688,0.001,0.40406641364097595
11.93,0.85,0.0012930009979754686,8,2757,321,2858,144,-1.3242634100000001,0.001,0.4419021010398865
11.51,0.86,0.0017939925892278552,8,2782,324,2883,148,-1.2599189100000001,0.001,0.4129667580127716
11.01,0.87,0.0010957547929137945,8,2800,326,2901,152,-1.21766066,0.001,0.4536113739013672
11.03,0.87,0.0013624740531668067,8,2866,335,2967,156,-1.1912087400000002,0.001,0.5102540850639343
11.48,0.86,0.001146832131780684,8,2933,343,3034,160,-1.22521019,0.001,0.4775373637676239
11.5,0.86,0.0010494256857782602,8,2997,351,3098,164,-1.2194490400000002,0.001,0.37020307779312134
11.03,0.87,0.000949363166000694,8,3021,354,3122,168,-1.18618711,0.001,0.5187957286834717
10.59,0.88,0.0008743223152123392,8,3043,358,3144,172,-1.06919129,0.001,0.3132140338420868
10.83,0.88,0.0010342563036829233,8,3083,363,3184,176,-1.09170682,0.001,0.3465893864631653
10.33,0.89,0.0009359914110973477,8,3100,365,3201,180,-1.03438346,0.001,0.44680583477020264
9.96,0.9,0.0013123373501002789,8,3173,375,3274,184,-0.9576033599999999,0.001,0.5284441709518433
9.96,0.9,0.0010836427100002766,8,3188,377,3289,188,-0.9617605599999999,0.001,0.4730256497859955
10.03,0.9,0.0008154564420692623,8,3211,380,3312,192,-0.9698168399999999,0.001,0.39204686880111694
10.05,0.9,0.0010615636128932238,8,3230,382,3331,196,-0.9727445599999999,0.001,0.4066216051578522
10.1,0.9,0.0012466231128200889,8,3298,388,3399,200,-0.9591332399999999,0.001,0.3832409381866455
9.62,0.91,0.0010099939536303282,8,3314,389,3415,204,-0.90300704,0.001,0.3278777003288269
9.82,0.9,0.001165604218840599,8,3379,395,3480,208,-0.9264553600000002,0.001,0.436414510011673
9.81,0.9,0.0012581406626850367,8,3402,397,3503,212,-0.9243316399999999,0.001,0.29093024134635925
9.9,0.9,0.0010619288077577949,8,3427,401,3528,216,-0.9429583100000001,0.001,0.2873767614364624
9.96,0.9,0.0007737148553133011,8,3449,404,3550,220,-0.9555929899999999,0.001,0.31692197918891907
9.53,0.91,0.001277316827327013,8,3468,407,3569,224,-0.9195915600000001,0.001,0.34017467498779297
8.63,0.93,0.0008015826460905373,8,3489,410,3590,228,-0.8365021,0.001,0.37165704369544983
8.59,0.93,0.0009474894031882286,8,3503,412,3604,232,-0.8338077300000001,0.001,0.3421328365802765
8.52,0.93,0.0009695974877104163,8,3517,414,3618,236,-0.82310245,0.001,0.4110497832298279
8.42,0.93,0.0006882313755340874,8,3531,416,3632,240,-0.8118492,0.001,0.361665278673172
7.91,0.94,0.001233670860528946,8,3548,419,3649,244,-0.7532096699999998,0.001,0.38151293992996216
7.81,0.94,0.0007701336289756,8,3563,421,3664,248,-0.7404567899999998,0.001,0.4294821619987488
7.81,0.94,0.0012731528840959072,8,3581,423,3682,252,-0.74299552,0.001,0.37811821699142456
7.34,0.95,0.0009431061334908009,8,3600,425,3701,256,-0.7082597800000001,0.001,0.2704816460609436
6.87,0.96,0.0009299004450440407,8,3620,428,3721,260,-0.6713540299999999,0.001,0.3576628565788269
6.42,0.97,0.0006714201881550252,8,3639,430,3740,264,-0.6342080299999999,0.001,0.4412727952003479
6.83,0.96,0.0009104355121962726,8,3704,438,3805,268,-0.68019526,0.001,0.393228143453598
7.37,0.95,0.0011718828463926911,8,3780,447,3881,272,-0.7159006600000001,0.001,0.4455633759498596
7.2,0.95,0.0009541508625261486,8,3803,451,3904,276,-0.70664046,0.001,0.3373071551322937
7.25,0.95,0.0008582444279454648,8,3825,453,3926,280,-0.7063254099999997,0.001,0.31115424633026123
