train/n_updates,rollout/success_rate,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/actor_loss,time/time_elapsed,time/fps
99,0.0,4,200,-16.63379775,0.004144564736634493,50.0,0.001,0.28022825717926025,19,10
299,0.0,8,400,-18.24933425,0.0009303133701905608,50.0,0.001,0.34208944439888,64,6
495,0.08333333333333333,12,596,-15.39594325,0.0018144070636481047,49.666666666666664,0.001,0.405803382396698,96,6
664,0.125,16,765,-13.081470875,0.0008778599440120161,47.8125,0.001,0.4475668668746948,128,5
822,0.15,20,923,-11.518792900000001,0.0006515263230539858,46.15,0.001,0.4852808117866516,148,6
909,0.25,24,1010,-10.107413916666667,0.0007020535413175821,42.083333333333336,0.001,0.5146427750587463,162,6
1109,0.21428571428571427,28,1210,-9.625279892857142,0.0004524313844740391,43.214285714285715,0.001,0.5260916948318481,190,6
1218,0.25,32,1319,-8.866474624999999,0.0006287578144110739,41.21875,0.001,0.5304093956947327,204,6
1378,0.25,36,1479,-8.427698611111111,0.0006524674827232957,41.083333333333336,0.001,0.45627957582473755,229,6
1439,0.3,40,1540,-7.783974325,0.0005384843680076301,38.5,0.001,0.5033289790153503,238,6
1512,0.3409090909090909,44,1613,-7.2482139772727265,0.0009434045059606433,36.65909090909091,0.001,0.4704028367996216,248,6
1563,0.3958333333333333,48,1664,-6.7267846875,0.0007899667834863067,34.666666666666664,0.001,0.4964062571525574,255,6
1631,0.4230769230769231,52,1732,-6.35893880769231,0.0009229963179677725,33.30769230769231,0.001,0.4689650237560272,264,6
1654,0.4642857142857143,56,1755,-5.941078482142856,0.0006309023592621088,31.339285714285715,0.001,0.42415347695350647,267,6
1687,0.5,60,1788,-5.599024299999999,0.0010654764482751489,29.8,0.001,0.4579277038574219,274,6
1703,0.53125,64,1804,-5.270524281249999,0.0017544488655403256,28.1875,0.001,0.4581299126148224,276,6
1737,0.5588235294117647,68,1838,-5.006080705882352,0.0019270294578745961,27.029411764705884,0.001,0.44106072187423706,281,6
1783,0.5833333333333334,72,1884,-4.777814208333333,0.002332641975954175,26.166666666666668,0.001,0.42508018016815186,290,6
1804,0.6052631578947368,76,1905,-4.54837747368421,0.0023876959457993507,25.06578947368421,0.001,0.4128625988960266,293,6
1831,0.625,80,1932,-4.3553466625,0.001544776139780879,24.15,0.001,0.48284900188446045,298,6
1852,0.6428571428571429,84,1953,-4.169888619047619,0.0014990669442340732,23.25,0.001,0.48421114683151245,300,6
1902,0.6590909090909091,88,2003,-4.028785784090909,0.0011620965087786317,22.761363636363637,0.001,0.36879247426986694,308,6
1975,0.6630434782608695,92,2076,-3.9677272826086956,0.0012124108616262674,22.565217391304348,0.001,0.36467474699020386,317,6
2001,0.6770833333333334,96,2102,-3.83356846875,0.0014635729603469372,21.895833333333332,0.001,0.39364421367645264,322,6
2029,0.69,100,2130,-3.71017635,0.001933047897182405,21.3,0.001,0.37907499074935913,327,6
2087,0.72,104,2188,-3.09887912,0.0014982621651142836,19.88,0.001,0.35965949296951294,338,6
2117,0.76,108,2218,-2.33012959,0.0013868547976016998,18.18,0.001,0.3311882019042969,347,6
2148,0.79,112,2249,-1.9710592299999998,0.0013159055961295962,16.53,0.001,0.3427625298500061,361,6
2173,0.82,116,2274,-1.7478900399999995,0.0019181985408067703,15.09,0.001,0.3536995053291321,365,6
2239,0.84,120,2340,-1.5927014100000003,0.0010003652423620224,14.17,0.001,0.36281540989875793,381,6
2310,0.84,124,2411,-1.5507926099999998,0.0007763794274069369,14.01,0.001,0.3322921693325043,394,6
2323,0.88,128,2424,-1.2925227000000004,0.0008119454141706228,12.14,0.001,0.3141447901725769,396,6
2338,0.9,132,2439,-1.1635712400000002,0.0011481918627396226,11.2,0.001,0.3296049237251282,398,6
2360,0.93,136,2461,-0.98848674,0.000798697816208005,9.82,0.001,0.2850910425186157,401,6
2382,0.94,140,2483,-0.93245775,0.0014057944063097239,9.43,0.001,0.2663193643093109,404,6
2409,0.95,144,2510,-0.8825858699999999,0.0012197677278891206,8.97,0.001,0.3263493478298187,409,6
2421,0.95,148,2522,-0.8538608099999999,0.0011559969279915094,8.58,0.001,0.30296754837036133,411,6
2443,0.96,152,2544,-0.7989838699999998,0.0009486009948886931,8.12,0.001,0.2467089742422104,414,6
2508,0.95,156,2609,-0.84654889,0.001122260931879282,8.54,0.001,0.26524272561073303,424,6
2519,0.95,160,2620,-0.8258612099999999,0.0012181473430246115,8.32,0.001,0.2741180658340454,427,6
2581,0.94,164,2682,-0.8717131899999998,0.0013555008918046951,8.78,0.001,0.24216508865356445,441,6
2616,0.94,168,2717,-0.8792649899999998,0.0010636161314323545,8.79,0.001,0.28390783071517944,449,6
2638,0.94,172,2739,-0.8633798700000002,0.001044002128764987,8.55,0.001,0.2336309254169464,453,6
2659,0.94,176,2760,-0.87185281,0.0011696108849719167,8.55,0.001,0.2559373080730438,458,6
2674,0.94,180,2775,-0.8587898300000001,0.0010176089126616716,8.43,0.001,0.23702028393745422,461,6
2720,0.94,184,2821,-0.8803007099999999,0.0008529446786269546,8.68,0.001,0.21660058200359344,475,5
2758,0.94,188,2859,-0.86940475,0.0007667430327273905,8.56,0.001,0.2320273369550705,480,5
2776,0.95,192,2877,-0.78283474,0.0009438337292522192,8.01,0.001,0.23615756630897522,483,5
2795,0.95,196,2896,-0.77380683,0.000739040959160775,7.94,0.001,0.20757149159908295,485,5
2811,0.95,200,2912,-0.7585677599999999,0.0007856074371375144,7.82,0.001,0.21368001401424408,487,5
2836,0.96,204,2937,-0.7321690700000001,0.0009468362550251186,7.49,0.001,0.23069880902767181,490,5
2854,0.96,208,2955,-0.7250148299999999,0.0006646522087976336,7.37,0.001,0.21731315553188324,492,5
2866,0.96,212,2967,-0.7081869399999999,0.0006337924860417843,7.18,0.001,0.22045841813087463,494,5
2881,0.96,216,2982,-0.7004811799999999,0.0006808192119933665,7.08,0.001,0.2108580470085144,497,5
2900,0.97,220,3001,-0.66512464,0.00076734006870538,6.61,0.001,0.2316293567419052,500,5
2965,0.97,224,3066,-0.6515870300000001,0.0006049720104783773,6.55,0.001,0.17827889323234558,510,6
2985,0.97,228,3086,-0.6600432700000001,0.000600689381826669,6.62,0.001,0.2256169319152832,513,6
3001,0.97,232,3102,-0.66210075,0.0007286241743713617,6.63,0.001,0.1996929943561554,515,6
3017,0.97,236,3118,-0.6537366600000002,0.0005343200755305588,6.57,0.001,0.20317381620407104,517,6
3038,0.97,240,3139,-0.65407532,0.0006542441551573575,6.56,0.001,0.20370839536190033,519,6
3058,0.97,244,3159,-0.6486643800000002,0.0008038271917030215,6.49,0.001,0.2231767177581787,521,6
3083,0.97,248,3184,-0.6646447999999998,0.0007425411604344845,6.62,0.001,0.21766330301761627,525,6
3096,0.97,252,3197,-0.65305304,0.0005026454455219209,6.53,0.001,0.21651232242584229,527,6
3109,0.98,256,3210,-0.5952859099999999,0.0006682106759399176,6.01,0.001,0.20246665179729462,528,6
3128,0.98,260,3229,-0.6078804099999999,0.0008536253008060157,6.09,0.001,0.14683324098587036,531,6
3149,0.99,264,3250,-0.5735115299999999,0.0006297437939792871,5.68,0.001,0.22199952602386475,534,6
3169,0.99,268,3270,-0.5582051100000001,0.0006787087768316269,5.53,0.001,0.14944827556610107,537,6
3180,0.99,272,3281,-0.5458658500000001,0.0007313797832466662,5.42,0.001,0.15317580103874207,539,6
3197,0.99,276,3298,-0.53670427,0.0006264389958232641,5.38,0.001,0.20959894359111786,542,6
3220,0.99,280,3321,-0.55057319,0.0008262667688541114,5.46,0.001,0.1940300166606903,546,6
