time/total_timesteps,train/n_updates,rollout/success_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/time_elapsed
200,99,0.0,13,-17.870289,50.0,0.1614989936351776,0.0025207800790667534,4,0.001,15
400,299,0.0,8,-21.670327874999998,50.0,0.3968810439109802,0.00039712036959826946,8,0.001,45
553,452,0.08333333333333333,8,-17.069877416666667,46.083333333333336,0.41124552488327026,0.0004461553762666881,12,0.001,68
693,592,0.1875,7,-14.5838606875,43.3125,0.4195581376552582,0.0005458577070385218,16,0.001,91
813,712,0.3,7,-12.690976000000001,40.65,0.5032724142074585,0.0005422754911705852,20,0.001,108
1013,912,0.25,6,-12.105051791666668,42.208333333333336,0.43347710371017456,0.00033067460753954947,24,0.001,147
1126,1025,0.2857142857142857,6,-11.024071642857146,40.214285714285715,0.38924795389175415,0.0005276790470816195,28,0.001,171
1240,1139,0.3125,6,-10.09345196875,38.75,0.4525918662548065,0.0004565292038023472,32,0.001,193
1262,1161,0.3888888888888889,6,-9.031344999999998,35.05555555555556,0.3699795603752136,0.0008167357882484794,36,0.001,197
1378,1277,0.4,6,-8.4834552,34.45,0.3743442893028259,0.0005825023399665952,40,0.001,219
1433,1332,0.45454545454545453,6,-7.814256204545455,32.56818181818182,0.4432220757007599,0.0004106475680600852,44,0.001,231
1461,1360,0.5,6,-7.212250541666666,30.4375,0.37059229612350464,0.000481852242955938,48,0.001,242
1486,1385,0.5384615384615384,5,-6.719699288461539,28.576923076923077,0.35755258798599243,0.0007945821853354573,52,0.001,251
1658,1557,0.5178571428571429,5,-6.567991053571428,29.607142857142858,0.3265180289745331,0.0005560205318033695,56,0.001,287
1719,1618,0.55,5,-6.215608949999999,28.65,0.454414427280426,0.0007748932112008333,60,0.001,297
1791,1690,0.5625,5,-5.918385656249999,27.984375,0.3755849003791809,0.0005020699463784695,64,0.001,315
1841,1740,0.5882352941176471,5,-5.638693264705882,27.073529411764707,0.301384299993515,0.0005090168560855091,68,0.001,328
1925,1824,0.5972222222222222,5,-5.448999847222222,26.73611111111111,0.3283845782279968,0.0008234683191403747,72,0.001,346
1952,1851,0.618421052631579,5,-5.200050342105263,25.68421052631579,0.3011382222175598,0.0004570144519675523,76,0.001,351
2066,1965,0.625,5,-5.101902899999999,25.825,0.3049416244029999,0.0007229635375551879,80,0.001,373
2090,1989,0.6428571428571429,5,-4.88695594047619,24.88095238095238,0.294716477394104,0.0005200804444029927,84,0.001,378
2155,2054,0.6477272727272727,5,-4.737230636363636,24.488636363636363,0.3163717985153198,0.0005330725107342005,88,0.001,388
2200,2099,0.6630434782608695,5,-4.57361177173913,23.91304347826087,0.27478551864624023,0.0005890738102607429,92,0.001,395
2220,2119,0.6770833333333334,5,-4.4013082812499995,23.125,0.3179255723953247,0.0007279415149241686,96,0.001,399
2280,2179,0.68,5,-4.28439268,22.8,0.26324188709259033,0.0006396957905963063,100,0.001,414
2312,2211,0.72,5,-3.59998821,21.12,0.3048316538333893,0.00043756153900176287,104,0.001,420
2338,2237,0.76,5,-2.60496646,19.38,0.3152919411659241,0.00047557943616993725,108,0.001,424
2364,2263,0.79,5,-2.3150971,18.11,0.240352600812912,0.0009304422419518232,112,0.001,430
2391,2290,0.81,5,-2.05978518,16.98,0.31692102551460266,0.0006416367250494659,116,0.001,435
2413,2312,0.82,5,-1.8771155299999998,16.0,0.23746830224990845,0.0005076000234112144,120,0.001,439
2481,2380,0.85,5,-1.5732138899999994,14.68,0.18387632071971893,0.0005463163834065199,124,0.001,452
2497,2396,0.87,5,-1.40654663,13.71,0.2578255534172058,0.0006996917654760182,128,0.001,455
2519,2418,0.89,5,-1.28685276,12.79,0.24858571588993073,0.0008229913073591888,132,0.001,458
2534,2433,0.89,5,-1.2776473799999999,12.72,0.22028157114982605,0.000524488277733326,136,0.001,460
2600,2499,0.9,5,-1.1893301,12.22,0.27700498700141907,0.0004675137752201408,140,0.001,470
2622,2521,0.9,5,-1.16809017,11.89,0.35314443707466125,0.000601589388679713,144,0.001,472
2636,2535,0.9,5,-1.1576452400000001,11.75,0.27217230200767517,0.0005061523406766355,148,0.001,475
2696,2595,0.89,5,-1.17447233,12.1,0.23730581998825073,0.0003871701192110777,152,0.001,483
