time/episodes,train/actor_loss,time/fps,rollout/success_rate,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/learning_rate
4,0.0918302834033966,8,0.25,160,59,40.0,17,0.005549962632358074,-15.898867500000001,0.001
8,0.23367378115653992,5,0.125,360,259,45.0,68,0.00046576204476878047,-16.532842625,0.001
12,0.25814953446388245,4,0.16666666666666666,538,437,44.833333333333336,110,0.00022347331105265766,-13.704083916666667,0.001
16,0.261940598487854,4,0.1875,689,588,43.0625,144,0.0003575892769731581,-11.978807937500001,0.001
20,0.30520179867744446,4,0.2,858,757,42.9,182,0.0003345526638440788,-10.659195200000003,0.001
24,0.30112558603286743,4,0.20833333333333334,1019,918,42.458333333333336,218,0.0003189551644027233,-9.862254208333333,0.001
28,0.3045658469200134,4,0.2857142857142857,1089,988,38.892857142857146,233,0.00029912556055933237,-8.834721499999999,0.001
32,0.2991880178451538,4,0.3125,1204,1103,37.625,265,0.00044279039138928056,-8.15543715625,0.001
36,0.3463037610054016,4,0.3611111111111111,1284,1183,35.666666666666664,284,0.0007164212292991579,-7.449945250000001,0.001
40,0.3041384220123291,4,0.4,1347,1246,33.675,298,0.0008511760970577598,-6.870504650000001,0.001
44,0.2954360842704773,4,0.45454545454545453,1367,1266,31.068181818181817,302,0.00061086006462574,-6.2946612272727265,0.001
48,0.3357493579387665,4,0.5,1392,1291,29.0,308,0.0006543097551912069,-5.815643291666667,0.001
52,0.326826274394989,4,0.5384615384615384,1418,1317,27.26923076923077,313,0.0005438019870780408,-5.421590134615385,0.001
56,0.3286587595939636,4,0.5714285714285714,1440,1339,25.714285714285715,319,0.0007812470430508256,-5.070594803571429,0.001
60,0.26863640546798706,4,0.5833333333333334,1525,1424,25.416666666666668,338,0.0008640678133815527,-4.895501449999999,0.001
64,0.26239457726478577,4,0.609375,1540,1439,24.0625,341,0.0008328594267368317,-4.612602515625,0.001
68,0.23297426104545593,4,0.6176470588235294,1607,1506,23.63235294117647,354,0.0005621640593744814,-4.470531588235295,0.001
72,0.2483876645565033,4,0.6388888888888888,1661,1560,23.069444444444443,364,0.0006882885354571044,-4.281073500000001,0.001
76,0.25043565034866333,4,0.6578947368421053,1678,1577,22.07894736842105,367,0.0010263222502544522,-4.076843894736842,0.001
80,0.23122243583202362,4,0.675,1697,1596,21.2125,371,0.0011664716294035316,-3.895338975,0.001
84,0.2320631593465805,4,0.6904761904761905,1725,1624,20.535714285714285,379,0.000623509637080133,-3.7444775,0.001
88,0.2425064742565155,4,0.6931818181818182,1787,1686,20.306818181818183,395,0.0005801951629109681,-3.6378539204545457,0.001
92,0.255706787109375,4,0.7065217391304348,1816,1715,19.73913043478261,403,0.0006842784350737929,-3.512669021739131,0.001
96,0.23947659134864807,4,0.71875,1845,1744,19.21875,409,0.000572467572055757,-3.3974455624999997,0.001
100,0.27244770526885986,4,0.73,1861,1760,18.61,412,0.0007829107344150543,-3.27585809,0.001
104,0.28165411949157715,4,0.76,1883,1782,17.23,416,0.0005115573294460773,-2.66463643,0.001
108,0.23674020171165466,4,0.8,1910,1809,15.5,422,0.000604790635406971,-1.9993945599999998,0.001
112,0.21778497099876404,4,0.83,1929,1828,13.91,425,0.0005196395213715732,-1.6974043699999997,0.001
116,0.20102454721927643,4,0.86,1949,1848,12.6,429,0.0006322714616544545,-1.4477792299999999,0.001
120,0.19843588769435883,4,0.89,1966,1865,11.08,432,0.0006712043541483581,-1.2490148699999999,0.001
124,0.2204996645450592,4,0.92,1995,1894,9.76,439,0.0005019919481128454,-1.03933338,0.001
128,0.21090218424797058,4,0.93,2008,1907,9.19,442,0.001032439642585814,-0.9423766099999998,0.001
132,0.19649596512317657,4,0.95,2032,1931,8.28,446,0.0005979752168059349,-0.83085729,0.001
136,0.18889760971069336,4,0.96,2048,1947,7.64,451,0.0006104857893660665,-0.7736946400000002,0.001
140,0.19388596713542938,4,0.97,2063,1962,7.16,453,0.0005875685019418597,-0.7238595500000001,0.001
