time/fps,train/learning_rate,train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/critic_loss
11,0.001,99,0.8193027377128601,200,16,0.0,50.0,-50.0,4,0.15642063319683075
9,0.001,299,1.5303070545196533,400,44,0.0,50.0,-50.0,8,0.11702000349760056
8,0.001,464,2.0459136962890625,565,66,0.08333333333333333,47.083333333333336,-47.0,12,0.10900169610977173
8,0.001,664,2.346950054168701,765,88,0.0625,47.8125,-47.75,16,0.08985261619091034
8,0.001,864,2.9263181686401367,965,115,0.05,48.25,-48.2,20,0.07164619863033295
7,0.001,1064,3.298405885696411,1165,145,0.041666666666666664,48.541666666666664,-48.5,24,0.08005014061927795
7,0.001,1264,3.61974835395813,1365,171,0.03571428571428571,48.75,-48.714285714285715,28,0.07717311382293701
7,0.001,1464,3.6742279529571533,1565,202,0.03125,48.90625,-48.875,32,0.07855748385190964
7,0.001,1664,4.193592071533203,1765,225,0.027777777777777776,49.02777777777778,-49.0,36,0.09105823934078217
7,0.001,1827,4.451733112335205,1928,243,0.05,48.2,-48.15,40,0.08357522636651993
8,0.001,2027,4.33781099319458,2128,263,0.045454545454545456,48.36363636363637,-48.31818181818182,44,0.11342722922563553
8,0.001,2227,4.447391986846924,2328,286,0.041666666666666664,48.5,-48.458333333333336,48,0.09778469055891037
8,0.001,2427,5.070298671722412,2528,308,0.038461538461538464,48.61538461538461,-48.57692307692308,52,0.0793546661734581
8,0.001,2627,5.003162860870361,2728,329,0.03571428571428571,48.714285714285715,-48.67857142857143,56,0.10791090875864029
8,0.001,2782,5.229227542877197,2883,345,0.05,48.05,-48.0,60,0.11163356900215149
8,0.001,2920,5.554337978363037,3021,360,0.078125,47.203125,-47.125,64,0.09437534213066101
8,0.001,3026,5.282367706298828,3127,372,0.10294117647058823,45.98529411764706,-45.88235294117647,68,0.0913901999592781
8,0.001,3181,5.224060535430908,3282,386,0.125,45.583333333333336,-45.458333333333336,72,0.11022406071424484
8,0.001,3296,5.048482418060303,3397,397,0.14473684210526316,44.69736842105263,-44.55263157894737,76,0.13377369940280914
8,0.001,3418,4.862890720367432,3519,409,0.1625,43.9875,-43.825,80,0.13711722195148468
8,0.001,3574,4.98724365234375,3675,424,0.16666666666666666,43.75,-43.583333333333336,84,0.09571821987628937
8,0.001,3651,4.657076835632324,3752,434,0.19318181818181818,42.63636363636363,-42.44318181818182,88,0.11748890578746796
8,0.001,3719,4.584950923919678,3820,442,0.21739130434782608,41.52173913043478,-41.30434782608695,92,0.13060924410820007
