rollout/success_rate,time/time_elapsed,train/learning_rate,train/ent_coef,train/critic_loss,time/fps,train/ent_coef_loss,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps
0.0,7,0.0003,0.9710200428962708,0.05899496376514435,26,-0.14841677248477936,99,-3.2051634788513184,-50.0,4,50.0,200
0.25,17,0.0003,0.9274541139602661,0.07322593778371811,19,-0.38126206398010254,252,-3.604245662689209,-43.875,8,44.125,353
0.16666666666666666,31,0.0003,0.8734468221664429,0.03676788508892059,17,-0.6824709177017212,452,-4.027499675750732,-45.916666666666664,12,46.083333333333336,553
0.1875,47,0.0003,0.8302516341209412,0.034905992448329926,15,-0.9369458556175232,621,-4.371057510375977,-44.9375,16,45.125,722
0.3,56,0.0003,0.809838593006134,0.09782421588897705,14,-1.0674391984939575,704,-4.503549098968506,-39.95,20,40.25,805
0.2916666666666667,76,0.0003,0.7693406343460083,0.03384382277727127,12,-1.3184170722961426,875,-4.747089862823486,-40.375,24,40.666666666666664,976
0.2857142857142857,96,0.0003,0.7254000306129456,0.10555815696716309,12,-1.6193996667861938,1071,-4.997937202453613,-41.57142857142857,28,41.857142857142854,1172
0.28125,110,0.0003,0.6926510334014893,0.05380325764417648,12,-1.8490761518478394,1225,-5.132476806640625,-41.15625,32,41.4375,1326
0.25,125,0.0003,0.6523244976997375,0.044439151883125305,12,-2.157763719558716,1425,-5.1888532638549805,-42.138888888888886,36,42.388888888888886,1526
0.25,141,0.0003,0.6184135675430298,0.02919195219874382,12,-2.4201111793518066,1603,-5.236539840698242,-42.35,40,42.6,1704
0.25,151,0.0003,0.5910350680351257,0.08699025213718414,12,-2.648226022720337,1754,-5.2037353515625,-41.90909090909091,44,42.15909090909091,1855
0.22916666666666666,166,0.0003,0.5566335916519165,0.0935964286327362,12,-2.965352773666382,1954,-5.111427307128906,-42.583333333333336,48,42.8125,2055
0.21153846153846154,192,0.0003,0.5242327451705933,0.11708001047372818,11,-3.2508788108825684,2154,-5.001979827880859,-43.15384615384615,52,43.36538461538461,2255
0.21428571428571427,218,0.0003,0.4949153959751129,0.023778971284627914,11,-3.5491700172424316,2346,-4.829354286193848,-43.482142857142854,56,43.69642857142857,2447
0.2,239,0.0003,0.4661150276660919,0.03470156714320183,11,-3.8503477573394775,2546,-4.619960784912109,-43.916666666666664,60,44.11666666666667,2647
0.1875,267,0.0003,0.4389815032482147,0.059290558099746704,10,-4.133331298828125,2746,-4.320687294006348,-44.296875,64,44.484375,2847
0.19117647058823528,284,0.0003,0.4159143269062042,0.017719201743602753,10,-4.425156593322754,2926,-4.058041095733643,-44.3235294117647,68,44.51470588235294,3027
0.18055555555555555,302,0.0003,0.39169639348983765,0.01605246774852276,10,-4.738821029663086,3126,-3.7160727977752686,-44.638888888888886,72,44.81944444444444,3227
0.18421052631578946,313,0.0003,0.37390565872192383,0.018360953778028488,10,-4.964167594909668,3281,-3.389768600463867,-44.31578947368421,76,44.5,3382
0.2,323,0.0003,0.36143484711647034,0.04383496940135956,10,-5.109142303466797,3394,-3.1852855682373047,-43.4875,80,43.6875,3495
0.20238095238095238,339,0.0003,0.34470033645629883,0.010644180700182915,10,-5.363451957702637,3552,-2.862616777420044,-43.285714285714285,84,43.48809523809524,3653
0.20454545454545456,360,0.0003,0.3286428153514862,0.010789360851049423,10,-5.606633186340332,3711,-2.4707448482513428,-43.11363636363637,88,43.31818181818182,3812
0.21739130434782608,375,0.0003,0.3174978494644165,0.008122661150991917,10,-5.793424606323242,3826,-2.1920623779296875,-42.46739130434783,92,42.68478260869565,3927
0.20833333333333334,390,0.0003,0.29900091886520386,0.01256511826068163,10,-6.112918376922607,4026,-1.6822865009307861,-42.78125,96,42.989583333333336,4127
0.21,410,0.0003,0.28575599193573,0.008529193699359894,10,-6.3241753578186035,4177,-1.3013335466384888,-42.57,100,42.78,4278
0.22,426,0.0003,0.2726881504058838,0.006434944458305836,10,-6.5629425048828125,4333,-0.8953227996826172,-42.12,104,42.34,4434
0.21,439,0.0003,0.260058730840683,0.005409640725702047,10,-6.839509963989258,4491,-0.44778624176979065,-42.18,108,42.39,4592
0.22,449,0.0003,0.24704673886299133,0.006492285989224911,10,-7.051088333129883,4662,0.02454162761569023,-41.88,112,42.1,4763
0.21,458,0.0003,0.23265120387077332,0.008469248190522194,10,-7.345981597900391,4862,0.5941608548164368,-42.2,116,42.41,4963
0.2,466,0.0003,0.22469307482242584,0.004884903319180012,10,-7.5509467124938965,4978,0.8824655413627625,-42.54,120,42.74,5079
0.19,482,0.0003,0.21160250902175903,0.003676522057503462,10,-7.845372676849365,5178,1.5201274156570435,-42.84,124,43.03,5279
0.18,494,0.0003,0.1992790848016739,0.0209656972438097,11,-8.12581729888916,5378,2.107152223587036,-42.89,128,43.07,5479
