train/ent_coef_loss,train/actor_loss,rollout/success_rate,time/episodes,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
-0.09652075171470642,-3.100862503051758,0.25,4,5,0.07642127573490143,65,166,0.0003,0.9809795618057251,41.5,31,-41.25
-0.3996920883655548,-3.6613166332244873,0.125,8,22,0.03871515020728111,265,366,0.0003,0.9238444566726685,45.75,16,-45.625
-0.7052810192108154,-4.124482154846191,0.08333333333333333,12,41,0.03879278153181076,465,566,0.0003,0.870014488697052,47.166666666666664,13,-47.083333333333336
-0.8700885772705078,-4.333028316497803,0.1875,16,57,0.05194377899169922,575,676,0.0003,0.8417617678642273,42.25,11,-42.0625
-1.0501163005828857,-4.4974799156188965,0.25,20,66,0.10433748364448547,695,796,0.0003,0.8119898438453674,39.8,11,-39.55
-1.3541584014892578,-4.849348545074463,0.20833333333333334,24,87,0.05606352910399437,895,996,0.0003,0.7647039294242859,41.5,11,-41.291666666666664
-1.5883734226226807,-5.047012805938721,0.21428571428571427,28,106,0.13914594054222107,1053,1154,0.0003,0.729297935962677,41.214285714285715,10,-41.0
-1.8971505165100098,-5.234683513641357,0.1875,32,128,0.03289420157670975,1253,1354,0.0003,0.6868205666542053,42.3125,10,-42.125
-2.1856584548950195,-5.3118720054626465,0.19444444444444445,36,150,0.030048958957195282,1440,1541,0.0003,0.6493398547172546,42.80555555555556,10,-42.611111111111114
-2.477787494659424,-5.358861446380615,0.175,40,172,0.07022380828857422,1640,1741,0.0003,0.6115180253982544,43.525,10,-43.35
-2.726177215576172,-5.3155083656311035,0.18181818181818182,44,193,0.05453534051775932,1807,1908,0.0003,0.5816452503204346,43.36363636363637,9,-43.18181818181818
-3.0408012866973877,-5.2315521240234375,0.16666666666666666,48,216,0.19975528120994568,2007,2108,0.0003,0.5477866530418396,43.916666666666664,9,-43.75
-3.272289276123047,-5.216849327087402,0.17307692307692307,52,236,0.022755224257707596,2164,2265,0.0003,0.522598922252655,43.55769230769231,9,-43.38461538461539
-3.525665521621704,-5.078860282897949,0.17857142857142858,56,253,0.02049044892191887,2327,2428,0.0003,0.4976663291454315,43.357142857142854,9,-43.17857142857143
-3.8100223541259766,-4.837394714355469,0.16666666666666666,60,274,0.01996558904647827,2527,2628,0.0003,0.4686890244483948,43.8,9,-43.63333333333333
-4.115823268890381,-4.638876914978027,0.171875,64,299,0.05880109965801239,2717,2818,0.0003,0.4427262246608734,44.03125,9,-43.859375
-4.4167327880859375,-4.263075828552246,0.16176470588235295,68,327,0.04378072917461395,2917,3018,0.0003,0.41695544123649597,44.38235294117647,9,-44.220588235294116
-4.708581924438477,-3.9281954765319824,0.1527777777777778,72,358,0.033151812851428986,3117,3218,0.0003,0.39267992973327637,44.69444444444444,8,-44.541666666666664
-4.955681324005127,-3.669466257095337,0.15789473684210525,76,378,0.038543544709682465,3268,3369,0.0003,0.3752942383289337,44.328947368421055,8,-44.171052631578945
-5.21952486038208,-3.227205991744995,0.15,80,409,0.01791246235370636,3468,3569,0.0003,0.35344403982162476,44.6125,8,-44.4625
-5.509215831756592,-2.8440451622009277,0.15476190476190477,84,426,0.016062455251812935,3640,3741,0.0003,0.3356741666793823,44.535714285714285,8,-44.38095238095238
-5.8261237144470215,-2.4335174560546875,0.14772727272727273,88,443,0.006761048920452595,3840,3941,0.0003,0.3161342442035675,44.78409090909091,8,-44.63636363636363
-6.02678108215332,-2.0182430744171143,0.15217391304347827,92,461,0.00913286954164505,3995,4096,0.0003,0.3017710745334625,44.52173913043478,8,-44.369565217391305
-6.320559978485107,-1.4753468036651611,0.14583333333333334,96,481,0.006869838107377291,4195,4296,0.0003,0.28419581055641174,44.75,8,-44.604166666666664
-6.58495569229126,-1.0790728330612183,0.15,100,505,0.005628329701721668,4360,4461,0.0003,0.2704712152481079,44.61,8,-44.46
-6.820624828338623,-0.619645357131958,0.15,104,521,0.005922870710492134,4521,4622,0.0003,0.2577183246612549,44.56,8,-44.41
-7.212798595428467,-0.09860492497682571,0.15,108,532,0.00860889907926321,4721,4822,0.0003,0.24270491302013397,44.56,9,-44.41
-7.482505798339844,0.47636544704437256,0.15,112,546,0.004646961577236652,4921,5022,0.0003,0.22856669127941132,44.56,9,-44.41
-7.631582260131836,0.8716801404953003,0.15,116,555,0.0041586048901081085,5052,5153,0.0003,0.21975360810756683,44.77,9,-44.62
-7.937607288360596,1.3715492486953735,0.14,120,564,0.030456826090812683,5226,5327,0.0003,0.2085721343755722,45.31,9,-45.17
-8.194430351257324,1.9655534029006958,0.14,124,574,0.04202736169099808,5426,5527,0.0003,0.19642381370067596,45.31,9,-45.17
-8.440500259399414,2.4679245948791504,0.14,128,584,0.05786886811256409,5578,5679,0.0003,0.1876668930053711,45.25,9,-45.11
