rollout/success_rate,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,time/episodes,train/critic_loss,train/ent_coef_loss,train/n_updates,time/fps,time/total_timesteps
0.0,-4.305426597595215,0.0003,-50.0,8,50.0,0.9709838628768921,4,0.10296735167503357,-0.14728717505931854,99,22,200
0.0,-5.768576145172119,0.0003,-50.0,22,50.0,0.9144205451011658,8,0.0666290819644928,-0.448702871799469,299,17,400
0.0,-6.967452526092529,0.0003,-50.0,35,50.0,0.8611600995063782,12,0.045950934290885925,-0.7541930079460144,499,16,600
0.0625,-7.915517807006836,0.0003,-49.5,46,49.5625,0.8126990795135498,16,0.2276599407196045,-1.0485048294067383,692,17,793
0.05,-9.110810279846191,0.0003,-49.6,56,49.65,0.7653791904449463,20,0.1414109468460083,-1.3445467948913574,892,17,993
0.041666666666666664,-10.017501831054688,0.0003,-49.666666666666664,68,49.708333333333336,0.7208520770072937,24,0.03746699541807175,-1.6448087692260742,1092,17,1193
0.07142857142857142,-10.609339714050293,0.0003,-48.107142857142854,79,48.17857142857143,0.6879226565361023,28,0.12576855719089508,-1.893173336982727,1248,16,1349
0.0625,-11.645095825195312,0.0003,-48.34375,88,48.40625,0.6479055285453796,32,0.04784625768661499,-2.160526752471924,1448,17,1549
0.05555555555555555,-12.569055557250977,0.0003,-48.52777777777778,97,48.583333333333336,0.6102365255355835,36,0.11386345326900482,-2.4872236251831055,1648,17,1749
0.075,-13.228150367736816,0.0003,-47.675,107,47.75,0.5815246105194092,40,0.03431900590658188,-2.7273175716400146,1809,17,1910
0.06818181818181818,-14.050911903381348,0.0003,-47.88636363636363,123,47.95454545454545,0.5477433204650879,44,0.04189964383840561,-3.0099966526031494,2009,17,2110
0.08333333333333333,-14.484001159667969,0.0003,-47.333333333333336,134,47.416666666666664,0.5212123394012451,48,0.050427500158548355,-3.2683682441711426,2175,16,2276
0.07692307692307693,-15.322504043579102,0.0003,-47.53846153846154,151,47.61538461538461,0.4910043776035309,52,0.04919121041893959,-3.5450539588928223,2375,16,2476
0.07142857142857142,-15.874488830566406,0.0003,-47.714285714285715,167,47.785714285714285,0.4625869393348694,56,0.04603661596775055,-3.854457139968872,2575,15,2676
0.06666666666666667,-16.541454315185547,0.0003,-47.86666666666667,182,47.93333333333333,0.43579548597335815,60,0.044127266854047775,-4.145875930786133,2775,15,2876
0.0625,-16.945011138916016,0.0003,-48.0,196,48.0625,0.4105668365955353,64,0.05829290300607681,-4.416674613952637,2975,15,3076
0.07352941176470588,-17.182796478271484,0.0003,-47.48529411764706,208,47.55882352941177,0.3916800618171692,68,0.07214711606502533,-4.670643329620361,3133,15,3234
0.06944444444444445,-17.466590881347656,0.0003,-47.625,222,47.69444444444444,0.3690132200717926,72,0.10237349569797516,-4.9777607917785645,3333,15,3434
0.06578947368421052,-18.217819213867188,0.0003,-47.75,236,47.81578947368421,0.3476570248603821,76,0.05759444460272789,-5.246349811553955,3533,15,3634
0.0625,-18.322525024414062,0.0003,-47.8625,247,47.925,0.32755157351493835,80,0.04787250608205795,-5.516036033630371,3733,15,3834
0.05952380952380952,-18.765098571777344,0.0003,-47.964285714285715,257,48.023809523809526,0.3086071014404297,84,0.0650959238409996,-5.836324214935303,3933,15,4034
0.056818181818181816,-18.6331787109375,0.0003,-48.05681818181818,267,48.11363636363637,0.2907557189464569,88,0.058429740369319916,-6.055002212524414,4133,15,4234
0.05434782608695652,-19.01592445373535,0.0003,-48.141304347826086,278,48.19565217391305,0.27394768595695496,92,0.04593474417924881,-6.280406951904297,4333,15,4434
0.0625,-19.299476623535156,0.0003,-47.75,291,47.8125,0.2615257501602173,96,0.0551861934363842,-6.619208335876465,4489,15,4590
0.07,-19.339757919311523,0.0003,-47.34,302,47.41,0.2500302195549011,100,0.04564743861556053,-6.840760231018066,4640,15,4741
0.07,-19.322275161743164,0.0003,-47.34,312,47.41,0.23560994863510132,104,0.048676975071430206,-7.126919746398926,4840,15,4941
0.07,-19.60287857055664,0.0003,-47.34,323,47.41,0.2220347672700882,108,0.060854993760585785,-7.320314407348633,5040,15,5141
0.07,-19.611225128173828,0.0003,-47.34,331,47.41,0.2092624455690384,112,0.04906729236245155,-7.546504974365234,5240,16,5341
0.07,-19.66065216064453,0.0003,-46.92,338,46.99,0.20012636482715607,116,0.042752016335725784,-7.772634983062744,5391,16,5492
0.07,-19.65064811706543,0.0003,-46.92,349,46.99,0.18867440521717072,120,0.8819093108177185,-7.9649810791015625,5591,16,5692
0.07,-19.60943031311035,0.0003,-46.92,356,46.99,0.17789813876152039,124,0.043581608682870865,-8.154291152954102,5791,16,5892
0.06,-19.82015037536621,0.0003,-47.37,368,47.43,0.16775758564472198,128,0.042672790586948395,-8.34595012664795,5991,16,6092
0.06,-19.71941566467285,0.0003,-47.37,386,47.43,0.15823045372962952,132,0.05720549076795578,-8.548338890075684,6191,16,6292
0.07,-19.802539825439453,0.0003,-46.9,398,46.97,0.15128116309642792,136,0.04722931981086731,-9.027727127075195,6345,16,6446
0.06,-20.053173065185547,0.0003,-47.3,420,47.36,0.14270855486392975,140,0.04474203661084175,-8.93941879272461,6545,15,6646
0.06,-19.742572784423828,0.0003,-47.3,432,47.36,0.1346030831336975,144,0.036864977329969406,-9.269365310668945,6745,15,6846
0.05,-19.82859992980957,0.0003,-47.65,440,47.7,0.12697981297969818,148,0.03945814073085785,-9.433135986328125,6945,15,7046
0.05,-19.78388023376465,0.0003,-47.65,450,47.7,0.11979863047599792,152,0.043002355843782425,-9.90398120880127,7145,16,7246
0.05,-19.430208206176758,0.0003,-47.65,466,47.7,0.11303190141916275,156,0.31347906589508057,-9.767101287841797,7345,15,7446
0.05,-19.385120391845703,0.0003,-47.65,479,47.7,0.10666299611330032,160,0.0715148001909256,-9.833436012268066,7545,15,7646
0.06,-19.48956871032715,0.0003,-47.19,487,47.25,0.10198055952787399,164,0.03825895115733147,-10.449430465698242,7700,16,7801
0.05,-19.443954467773438,0.0003,-47.62,497,47.67,0.09628401696681976,168,0.03781643509864807,-10.367319107055664,7900,16,8001
0.05,-19.234636306762695,0.0003,-47.62,511,47.67,0.09090680629014969,172,0.6483453512191772,-10.410219192504883,8100,16,8201
0.06,-19.467382431030273,0.0003,-47.16,524,47.22,0.0869617685675621,176,0.041694700717926025,-10.204225540161133,8255,15,8356
0.06,-19.544105529785156,0.0003,-47.16,544,47.22,0.08213137090206146,180,0.03700697794556618,-10.401480674743652,8455,15,8556
0.06,-19.008947372436523,0.0003,-47.16,562,47.22,0.07756716758012772,184,0.0428558811545372,-10.65982723236084,8655,15,8756
0.06,-19.342742919921875,0.0003,-47.16,584,47.22,0.07327766716480255,188,0.08407673239707947,-10.698881149291992,8855,15,8956
0.06,-18.983957290649414,0.0003,-47.16,613,47.22,0.06923424452543259,192,0.17590904235839844,-11.12293529510498,9055,14,9156
0.05,-18.879688262939453,0.0003,-47.61,639,47.66,0.06542430073022842,196,0.036069355905056,-10.760209083557129,9255,14,9356
0.04,-18.862756729125977,0.0003,-48.11,669,48.15,0.06184086203575134,200,0.03435896337032318,-11.131891250610352,9455,14,9556
0.04,-18.83126449584961,0.0003,-48.11,694,48.15,0.05846457555890083,204,0.03464094549417496,-10.763321876525879,9655,14,9756
0.05,-18.814388275146484,0.0003,-47.68,715,47.73,0.05591261386871338,208,0.03488819673657417,-11.68208122253418,9813,13,9914
