time/time_elapsed,train/ent_coef_loss,train/actor_loss,time/episodes,train/learning_rate,train/critic_loss,rollout/success_rate,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps
11,-0.10945448279380798,-4.288346767425537,4,0.0003,0.09363685548305511,0.25,73,0.9786205291748047,43.5,15,-43.25,174
30,-0.37113648653030396,-5.346738815307617,8,0.0003,0.11147470027208328,0.25,247,0.9288392066955566,43.5,11,-43.25,348
55,-0.6765674948692322,-6.526863098144531,12,0.0003,0.06820935010910034,0.16666666666666666,447,0.8747555017471313,45.666666666666664,9,-45.5,548
78,-0.9790769219398499,-7.642192363739014,16,0.0003,0.07534947991371155,0.125,647,0.8238435983657837,46.75,9,-46.625,748
99,-1.229805588722229,-8.587677001953125,20,0.0003,0.04027538374066353,0.15,817,0.7829146385192871,45.9,9,-45.75,918
136,-1.5239698886871338,-9.65974235534668,24,0.0003,0.033887993544340134,0.125,1017,0.7373834848403931,46.583333333333336,8,-46.458333333333336,1118
173,-1.8308618068695068,-10.562996864318848,28,0.0003,0.036173805594444275,0.10714285714285714,1217,0.6945039629936218,47.07142857142857,7,-46.964285714285715,1318
223,-2.1220946311950684,-11.388065338134766,32,0.0003,0.09271586686372757,0.09375,1417,0.6541684865951538,47.4375,6,-47.34375,1518
270,-2.4244866371154785,-12.464763641357422,36,0.0003,0.07620970904827118,0.08333333333333333,1617,0.6161820888519287,47.72222222222222,6,-47.638888888888886,1718
324,-2.7068748474121094,-13.136650085449219,40,0.0003,0.03868136554956436,0.075,1817,0.5804278254508972,47.95,5,-47.875,1918
368,-3.0163679122924805,-13.644109725952148,44,0.0003,0.03514069318771362,0.06818181818181818,2017,0.5467433333396912,48.13636363636363,5,-48.06818181818182,2118
394,-3.289022922515869,-14.327407836914062,48,0.0003,0.07254225015640259,0.08333333333333333,2175,0.5215160846710205,47.416666666666664,5,-47.333333333333336,2276
431,-3.517493724822998,-14.781283378601074,52,0.0003,0.06469234824180603,0.07692307692307693,2375,0.4912676215171814,47.61538461538461,5,-47.53846153846154,2476
477,-3.8250954151153564,-15.525148391723633,56,0.0003,0.048946186900138855,0.07142857142857142,2575,0.4628506004810333,47.785714285714285,5,-47.714285714285715,2676
525,-4.109397888183594,-15.849859237670898,60,0.0003,0.04339272901415825,0.06666666666666667,2775,0.43610021471977234,47.93333333333333,5,-47.86666666666667,2876
584,-4.40515661239624,-16.224496841430664,64,0.0003,0.05179871618747711,0.0625,2975,0.4109189808368683,48.0625,5,-48.0,3076
628,-4.654006004333496,-16.73629379272461,68,0.0003,0.04642416536808014,0.058823529411764705,3175,0.38714683055877686,48.1764705882353,5,-48.11764705882353,3276
683,-4.960139274597168,-16.921335220336914,72,0.0003,0.05856199562549591,0.06944444444444445,3371,0.36519932746887207,48.22222222222222,5,-48.15277777777778,3472
758,-5.291614532470703,-17.368444442749023,76,0.0003,0.042098961770534515,0.06578947368421052,3571,0.34411466121673584,48.31578947368421,4,-48.25,3672
799,-5.5222039222717285,-17.6340274810791,80,0.0003,0.04953354597091675,0.0625,3771,0.32423344254493713,48.4,4,-48.3375,3872
827,-5.66840124130249,-17.956295013427734,84,0.0003,0.041316207498311996,0.07142857142857142,3928,0.309430867433548,47.964285714285715,4,-47.892857142857146,4029
863,-6.044878005981445,-18.151517868041992,88,0.0003,0.06356823444366455,0.06818181818181818,4128,0.2915736138820648,48.05681818181818,4,-47.98863636363637,4229
910,-6.314776420593262,-18.112226486206055,92,0.0003,0.41611814498901367,0.06521739130434782,4328,0.27476826310157776,48.141304347826086,4,-48.07608695652174,4429
962,-6.519981384277344,-18.59402084350586,96,0.0003,0.07172141224145889,0.0625,4528,0.258921355009079,48.21875,4,-48.15625,4629
1015,-6.875838279724121,-19.004573822021484,100,0.0003,0.06152883917093277,0.06,4728,0.2440132051706314,48.29,4,-48.23,4829
1055,-6.942521095275879,-18.792177200317383,104,0.0003,0.05440378189086914,0.07,4832,0.23661841452121735,47.59,4,-47.52,4933
1100,-7.247951507568359,-18.91240692138672,108,0.0003,0.04572879523038864,0.06,5032,0.22305642068386078,47.85,4,-47.79,5133
1154,-7.453706741333008,-18.928592681884766,112,0.0003,0.05962936580181122,0.06,5232,0.21028029918670654,47.85,4,-47.79,5333
1205,-7.554502010345459,-18.700946807861328,116,0.0003,0.04849555343389511,0.06,5432,0.19825796782970428,47.85,4,-47.79,5533
1275,-7.85726261138916,-19.034090042114258,120,0.0003,0.05595424398779869,0.05,5632,0.1868962049484253,48.15,4,-48.1,5733
1354,-8.228144645690918,-19.017053604125977,124,0.0003,0.040941741317510605,0.05,5832,0.17621555924415588,48.15,4,-48.1,5933
1500,-8.419814109802246,-18.959474563598633,128,0.0003,0.042537130415439606,0.05,6032,0.1661411076784134,48.15,4,-48.1,6133
1567,-8.863532066345215,-19.118179321289062,132,0.0003,0.03537072241306305,0.05,6232,0.15663884580135345,48.15,4,-48.1,6333
1610,-8.886026382446289,-18.814556121826172,136,0.0003,0.04974256083369255,0.05,6432,0.1476845145225525,48.15,4,-48.1,6533
1650,-9.093329429626465,-19.067296981811523,140,0.0003,0.04103148356080055,0.05,6632,0.13926002383232117,48.15,4,-48.1,6733
1683,-9.597038269042969,-18.905715942382812,144,0.0003,0.04886923357844353,0.05,6832,0.1313176155090332,48.15,4,-48.1,6933
1717,-9.592899322509766,-18.747371673583984,148,0.0003,0.042896151542663574,0.04,7032,0.12384817749261856,48.57,4,-48.53,7133
1751,-9.75295352935791,-18.381694793701172,152,0.0003,0.04821324348449707,0.04,7232,0.11681036651134491,48.57,4,-48.53,7333
1783,-9.942124366760254,-18.582420349121094,156,0.0003,0.0375446155667305,0.04,7432,0.11017115414142609,48.57,4,-48.53,7533
1832,-9.927398681640625,-18.227985382080078,160,0.0003,0.04881756752729416,0.04,7632,0.10391167551279068,48.57,4,-48.53,7733
