train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,time/episodes,train/ent_coef,rollout/success_rate
0.0003,9,156,39.0,0.34137237071990967,-38.75,-0.08207172900438309,55,16,-3.4569826126098633,4,0.9839053153991699,0.25
0.0003,39,356,44.5,0.24537032842636108,-44.375,-0.38359200954437256,255,9,-4.037189960479736,8,0.9265894889831543,0.125
0.0003,62,509,42.416666666666664,0.26123467087745667,-42.25,-0.616066575050354,408,8,-4.608011245727539,12,0.8850063681602478,0.16666666666666666
0.0003,92,709,44.3125,0.18440057337284088,-44.1875,-0.9236369132995605,608,7,-5.171502113342285,16,0.83346027135849,0.125
0.0003,125,909,45.45,0.18831342458724976,-45.35,-1.2234106063842773,808,7,-5.877228260040283,20,0.7848964929580688,0.1
0.0003,154,1109,46.208333333333336,0.19654089212417603,-46.1,-1.523185133934021,1008,7,-6.300054550170898,24,0.7392023801803589,0.08333333333333333
0.0003,185,1309,46.75,0.1839480996131897,-46.65714285714286,-1.831007957458496,1208,7,-6.786855220794678,28,0.6961682438850403,0.07142857142857142
0.0003,213,1509,47.15625,0.2728865146636963,-47.075,-2.123438596725464,1408,7,-7.271313667297363,32,0.6556810140609741,0.0625
0.0003,252,1709,47.47222222222222,0.19550082087516785,-47.400000000000006,-2.4347143173217773,1608,6,-7.57992696762085,36,0.6175883412361145,0.05555555555555555
0.0003,290,1909,47.725,0.2441222071647644,-47.660000000000004,-2.7344932556152344,1808,6,-7.923010349273682,40,0.5817451477050781,0.05
0.0003,325,2109,47.93181818181818,0.2072095274925232,-47.85909090909092,-3.001725196838379,2008,6,-8.022706031799316,44,0.5480147004127502,0.045454545454545456
0.0003,357,2309,48.104166666666664,0.18296822905540466,-48.0375,-3.2925398349761963,2208,6,-8.232011795043945,48,0.5162776112556458,0.041666666666666664
0.0003,391,2509,48.25,0.17329365015029907,-48.17307692307692,-3.586090087890625,2408,6,-8.152803421020508,52,0.4864278733730316,0.038461538461538464
0.0003,425,2709,48.375,0.19817297160625458,-48.30357142857143,-3.838139772415161,2608,6,-8.035942077636719,56,0.4583706259727478,0.03571428571428571
0.0003,457,2909,48.483333333333334,0.1807129979133606,-48.416666666666664,-4.145750522613525,2808,6,-8.089370727539062,60,0.4320107400417328,0.03333333333333333
0.0003,485,3109,48.578125,0.1659121811389923,-48.515625,-4.382264137268066,3008,6,-8.522062301635742,64,0.40719854831695557,0.03125
0.0003,509,3309,48.661764705882355,0.16365782916545868,-48.59411764705882,-4.62916374206543,3208,6,-8.415571212768555,68,0.3838908076286316,0.029411764705882353
0.0003,537,3509,48.736111111111114,0.20371320843696594,-48.66388888888889,-4.935466766357422,3408,6,-8.241307258605957,72,0.36201658844947815,0.027777777777777776
0.0003,555,3664,48.21052631578947,0.14367255568504333,-48.12894736842105,-5.1091227531433105,3563,6,-8.048176765441895,76,0.3459649384021759,0.039473684210526314
0.0003,575,3835,47.9375,0.16534771025180817,-47.847500000000004,-5.241026878356934,3734,6,-7.862824440002441,80,0.3291420340538025,0.05
0.0003,603,4035,48.035714285714285,0.178559809923172,-47.95,-5.486636638641357,3934,6,-7.803917407989502,84,0.3106275200843811,0.047619047619047616
0.0003,626,4197,47.69318181818182,0.14411206543445587,-47.6,-5.434299468994141,4096,6,-7.777851581573486,88,0.2964954674243927,0.056818181818181816
0.0003,646,4359,47.380434782608695,0.1575292944908142,-47.2804347826087,-5.7404069900512695,4258,6,-7.494314193725586,92,0.28304415941238403,0.06521739130434782
0.0003,675,4559,47.489583333333336,0.1680704653263092,-47.393750000000004,-6.005212783813477,4458,6,-7.3433990478515625,96,0.2673214077949524,0.0625
0.0003,703,4759,47.59,0.1851973831653595,-47.498000000000005,-5.951223373413086,4658,6,-7.025559902191162,100,0.25255200266838074,0.06
