train/n_updates,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss
99,200,14,4,13,0.0,0.001,0.7472501993179321,50.0,-49.7,0.29587793350219727
299,400,34,8,11,0.0,0.001,0.8971547484397888,50.0,-49.85,0.17955754697322845
499,600,52,12,11,0.0,0.001,1.0238633155822754,50.0,-49.9,0.14350232481956482
699,800,72,16,11,0.0,0.001,1.2538203001022339,50.0,-49.925,0.11482608318328857
899,1000,91,20,10,0.0,0.001,1.4514148235321045,50.0,-49.94,0.12850318849086761
1081,1182,106,24,11,0.041666666666666664,0.001,1.605229139328003,49.25,-49.15833333333333,0.12032333016395569
1281,1382,126,28,10,0.03571428571428571,0.001,1.8013343811035156,49.357142857142854,-49.271428571428565,0.11286699771881104
1481,1582,143,32,10,0.03125,0.001,2.169198989868164,49.4375,-49.3625,0.10362957417964935
1681,1782,160,36,11,0.027777777777777776,0.001,2.486382007598877,49.5,-49.43333333333333,0.13472171127796173
1881,1982,180,40,11,0.025,0.001,2.5725104808807373,49.55,-49.489999999999995,0.12628141045570374
2032,2133,201,44,10,0.045454545454545456,0.001,2.925291061401367,48.47727272727273,-48.4,0.11320051550865173
2232,2333,236,48,9,0.041666666666666664,0.001,2.8207476139068604,48.604166666666664,-48.53333333333333,0.12600132822990417
2432,2533,271,52,9,0.038461538461538464,0.001,3.3508546352386475,48.71153846153846,-48.646153846153844,0.12717299163341522
2632,2733,307,56,8,0.03571428571428571,0.001,3.4692859649658203,48.80357142857143,-48.74285714285714,0.11615993827581406
2832,2933,341,60,8,0.03333333333333333,0.001,4.159170150756836,48.88333333333333,-48.82666666666667,0.09037496149539948
2984,3085,366,64,8,0.046875,0.001,3.773207187652588,48.203125,-48.134375,0.11838047206401825
3140,3241,391,68,8,0.058823529411764705,0.001,3.992424488067627,47.661764705882355,-47.58235294117647,0.12688279151916504
3247,3348,411,72,8,0.08333333333333333,0.001,4.507065773010254,46.5,-46.39722222222222,0.12344072759151459
3405,3506,436,76,8,0.09210526315789473,0.001,4.1236042976379395,46.13157894736842,-46.02105263157895,0.1552792489528656
3605,3706,477,80,7,0.0875,0.001,4.5554327964782715,46.325,-46.22,0.11835615336894989
3805,3906,513,84,7,0.08333333333333333,0.001,4.561604976654053,46.5,-46.4,0.16936635971069336
3917,4018,535,88,7,0.10227272727272728,0.001,4.449746131896973,45.65909090909091,-45.54090909090909,0.10806538909673691
4037,4138,563,92,7,0.11956521739130435,0.001,4.483800888061523,44.97826086956522,-44.84347826086957,0.19448412954807281
4190,4291,592,96,7,0.125,0.001,4.460409641265869,44.697916666666664,-44.55833333333334,0.24081769585609436
4258,4359,604,100,7,0.15,0.001,4.7438554763793945,43.59,-43.426,0.15803885459899902
4333,4434,620,104,7,0.18,0.001,4.662647247314453,42.34,-42.158,0.1728888750076294
4412,4513,638,108,7,0.21,0.001,4.7618937492370605,41.13,-40.918,0.1951274573802948
4528,4629,652,112,7,0.23,0.001,4.645717620849609,40.29,-40.058,0.19763869047164917
4626,4727,667,116,7,0.26,0.001,4.831465721130371,39.27,-39.008,0.25680971145629883
4694,4795,676,120,7,0.29,0.001,4.743559837341309,37.95,-37.658,0.20796990394592285
4810,4911,696,124,7,0.3,0.001,4.816614151000977,37.29,-36.988,0.2605423629283905
4843,4944,701,128,7,0.34,0.001,5.203860282897949,35.62,-35.28,0.19813573360443115
4861,4962,703,132,7,0.38,0.001,4.892820358276367,33.8,-33.42,0.23812301456928253
4880,4981,705,136,7,0.42,0.001,4.7497758865356445,31.99,-31.57,0.24048468470573425
4901,5002,708,140,7,0.46,0.001,4.667965412139893,30.2,-29.74,0.24691805243492126
4968,5069,719,144,7,0.48,0.001,5.021331310272217,29.36,-28.88,0.24645088613033295
4993,5094,723,148,7,0.52,0.001,5.182335376739502,27.61,-27.09,0.2909480929374695
5094,5195,736,152,7,0.55,0.001,4.786837100982666,26.62,-26.07,0.42277002334594727
5124,5225,740,156,7,0.59,0.001,4.995265960693359,24.92,-24.33,0.2695189118385315
5139,5240,744,160,7,0.63,0.001,4.436855792999268,23.07,-22.44,0.16629530489444733
5163,5264,748,164,7,0.66,0.001,4.80344295501709,21.79,-21.13,0.21399158239364624
5226,5327,760,168,7,0.68,0.001,4.607600688934326,20.86,-20.18,0.32223784923553467
5249,5350,764,172,7,0.7,0.001,4.793331146240234,20.02,-19.32,0.3532947599887848
5264,5365,767,176,6,0.73,0.001,5.02395486831665,18.59,-17.86,0.3566335439682007
5287,5388,769,180,7,0.77,0.001,4.584027290344238,16.82,-16.05,0.41739097237586975
5315,5416,773,184,7,0.81,0.001,5.095936298370361,15.1,-14.29,0.3723847270011902
5378,5479,783,188,6,0.82,0.001,4.798734188079834,14.61,-13.79,0.29100486636161804
5395,5496,786,192,6,0.84,0.001,4.708679676055908,13.58,-12.74,0.31246089935302734
5413,5514,790,196,6,0.87,0.001,4.695442199707031,12.23,-11.36,0.2868359088897705
5443,5544,797,200,6,0.88,0.001,4.8145432472229,11.85,-10.97,0.4765874743461609
5497,5598,805,204,6,0.89,0.001,4.225523471832275,11.64,-10.75,0.43961477279663086
5563,5664,818,208,6,0.89,0.001,5.1169843673706055,11.51,-10.62,0.3327714800834656
5584,5685,824,212,6,0.91,0.001,4.963318824768066,10.56,-9.65,0.4069286584854126
5602,5703,827,216,6,0.92,0.001,4.231935501098633,9.76,-8.84,0.46121281385421753
5627,5728,831,220,6,0.93,0.001,4.792346000671387,9.33,-8.4,0.27885013818740845
5644,5745,833,224,6,0.95,0.001,4.706490516662598,8.34,-7.39,0.28632161021232605
5662,5763,835,228,6,0.95,0.001,4.549954414367676,8.19,-7.24,0.24980655312538147
5684,5785,838,232,6,0.95,0.001,4.493355751037598,8.23,-7.28,0.3418806195259094
5700,5801,840,236,6,0.95,0.001,4.845814228057861,8.2,-7.25,0.3331208825111389
5718,5819,843,240,6,0.95,0.001,5.07165002822876,8.17,-7.22,0.38269010186195374
5780,5881,851,244,6,0.96,0.001,4.952478408813477,8.12,-7.16,0.369814932346344
5843,5944,862,248,6,0.95,0.001,4.689096450805664,8.5,-7.55,0.38133352994918823
5867,5968,866,252,6,0.96,0.001,4.616163730621338,7.73,-6.77,0.42826688289642334
5893,5994,870,256,6,0.96,0.001,4.916696071624756,7.69,-6.73,0.37385207414627075
5916,6017,875,260,6,0.96,0.001,4.260705471038818,7.77,-6.81,0.3333575427532196
5935,6036,878,264,6,0.96,0.001,4.6424689292907715,7.72,-6.76,0.3030504584312439
5953,6054,881,268,6,0.97,0.001,4.884555816650391,7.27,-6.3,0.341785192489624
5970,6071,885,272,6,0.97,0.001,4.588588714599609,7.21,-6.24,0.3215828537940979
5991,6092,888,276,6,0.97,0.001,4.747921466827393,7.27,-6.3,0.37087732553482056
6021,6122,894,280,6,0.97,0.001,4.740654468536377,7.34,-6.37,0.35924577713012695
6046,6147,898,284,6,0.97,0.001,4.575514793395996,7.31,-6.34,0.39378970861434937
