train/learning_rate,rollout/success_rate,time/time_elapsed,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
0.001,0.0,14,0.7031538486480713,99,50.0,4,13,0.3242729902267456,200,-50.0
0.001,0.0,41,0.988783597946167,299,50.0,8,9,0.2231118381023407,400,-50.0
0.001,0.0,64,0.9881790280342102,499,50.0,12,9,0.18823868036270142,600,-50.0
0.001,0.0625,102,1.3629481792449951,657,47.375,16,7,0.17095664143562317,758,-47.3125
0.001,0.05,147,1.7356301546096802,857,47.9,20,6,0.1587323546409607,958,-47.85
0.001,0.041666666666666664,188,1.943697452545166,1057,48.25,24,6,0.18146421015262604,1158,-48.208333333333336
0.001,0.03571428571428571,237,2.0796053409576416,1257,48.5,28,5,0.12912452220916748,1358,-48.464285714285715
0.001,0.03125,291,2.1325435638427734,1457,48.6875,32,5,0.10555852204561234,1558,-48.65625
0.001,0.027777777777777776,329,2.375596284866333,1657,48.833333333333336,36,5,0.15203550457954407,1758,-48.80555555555556
0.001,0.05,371,2.6010806560516357,1809,47.75,40,5,0.12140613049268723,1910,-47.7
0.001,0.06818181818181818,417,2.4404611587524414,1963,46.90909090909091,44,4,0.10737667977809906,2064,-46.84090909090909
0.001,0.08333333333333333,452,2.8527722358703613,2126,46.395833333333336,48,4,0.11834774911403656,2227,-46.3125
0.001,0.07692307692307693,508,2.910555124282837,2326,46.67307692307692,52,4,0.14475175738334656,2427,-46.59615384615385
0.001,0.07142857142857142,541,3.093137502670288,2526,46.910714285714285,56,4,0.11801103502511978,2627,-46.832142857142856
0.001,0.06666666666666667,576,3.291141986846924,2726,47.11666666666667,60,4,0.12411399185657501,2827,-47.04333333333333
0.001,0.0625,615,3.4217727184295654,2926,47.296875,64,4,0.14159482717514038,3027,-47.228125
0.001,0.058823529411764705,669,3.7559828758239746,3126,47.455882352941174,68,4,0.1486300379037857,3227,-47.391176470588235
0.001,0.08333333333333333,695,3.8762547969818115,3232,46.291666666666664,72,4,0.14121706783771515,3333,-46.202777777777776
0.001,0.09210526315789473,728,3.7961854934692383,3389,45.921052631578945,76,4,0.14542794227600098,3490,-45.82368421052632
0.001,0.1,755,3.922846794128418,3542,45.5375,80,4,0.1605846881866455,3643,-45.4325
0.001,0.11904761904761904,778,3.9332849979400635,3657,44.73809523809524,84,4,0.14592775702476501,3758,-44.614285714285714
0.001,0.13636363636363635,814,4.02763032913208,3768,43.96590909090909,88,4,0.2107270061969757,3869,-43.824999999999996
0.001,0.15217391304347827,843,4.174468994140625,3892,43.40217391304348,92,4,0.20162467658519745,3993,-43.245652173913044
0.001,0.16666666666666666,863,4.049048900604248,4000,42.71875,96,4,0.2678820490837097,4101,-42.547916666666666
0.001,0.17,899,3.8712337017059326,4152,42.53,100,4,0.18816325068473816,4253,-42.356
0.001,0.18,928,4.204675674438477,4303,42.04,104,4,0.2853797674179077,4404,-41.856
0.001,0.19,959,4.278936386108398,4457,41.58,108,4,0.2309167981147766,4558,-41.386
0.001,0.2,992,4.244071960449219,4622,41.23,112,4,0.19193008542060852,4723,-41.026
0.001,0.22,1006,4.314238548278809,4688,40.31,116,4,0.3201710283756256,4789,-40.086
0.001,0.26,1019,4.174731731414795,4734,38.77,120,4,0.27178120613098145,4835,-38.506
0.001,0.3,1024,4.518815040588379,4762,37.05,124,4,0.24720081686973572,4863,-36.746
0.001,0.32,1045,4.400564193725586,4878,36.21,128,4,0.2279839813709259,4979,-35.885999999999996
0.001,0.36,1050,3.9266648292541504,4902,34.45,132,4,0.23389393091201782,5003,-34.086
0.001,0.4,1057,3.769503116607666,4931,32.74,136,4,0.43739962577819824,5032,-32.336
0.001,0.43,1073,4.1256232261657715,4994,31.85,140,4,0.33843305706977844,5095,-31.416
0.001,0.46,1080,4.382777690887451,5022,30.59,144,4,0.5402145981788635,5123,-30.125999999999998
0.001,0.49,1086,4.180782794952393,5044,29.18,148,4,0.2851158380508423,5145,-28.686
0.001,0.52,1098,4.3929314613342285,5104,27.78,152,4,0.19624459743499756,5205,-27.256
0.001,0.56,1103,4.288040637969971,5132,26.06,156,4,0.24041087925434113,5233,-25.5
0.001,0.6,1119,4.330780029296875,5182,24.56,160,4,0.3817204535007477,5283,-23.96
0.001,0.64,1127,4.235597610473633,5216,22.9,164,4,0.3945080637931824,5317,-22.26
0.001,0.67,1140,4.588259696960449,5278,21.52,168,4,0.5950695276260376,5379,-20.85
