rollout/success_rate,train/critic_loss,time/episodes,train/actor_loss,time/fps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
0.25,0.004398989025503397,4,0.13046811521053314,10,-10.66569,78,17,0.001,44.75,179
0.25,0.001669501420110464,8,0.22161011397838593,7,-12.73283275,229,43,0.001,41.25,330
0.25,0.003975255880504847,12,0.24562501907348633,6,-11.819936833333331,384,70,0.001,40.416666666666664,485
0.1875,0.0010666385060176253,16,0.3339327573776245,6,-14.272794750000001,584,103,0.001,42.8125,685
0.3,0.0020407529082149267,20,0.3047053813934326,6,-12.11550565,660,117,0.001,38.05,761
0.25,0.0008746343664824963,24,0.347624808549881,5,-11.891412666666668,860,164,0.001,40.041666666666664,961
0.25,0.0007761993329040706,28,0.3290245234966278,5,-11.403754642857143,1015,198,0.001,39.857142857142854,1116
0.25,0.0009964886121451855,32,0.38160499930381775,5,-11.284934875000001,1171,217,0.001,39.75,1272
0.2777777777777778,0.0009300307719968259,36,0.38647040724754333,5,-10.522832194444446,1278,231,0.001,38.30555555555556,1379
0.3,0.000842832843773067,40,0.3928645849227905,5,-9.870264449999999,1386,248,0.001,37.175,1487
0.3409090909090909,0.0009259528014808893,44,0.3933694064617157,6,-9.266334477272727,1454,258,0.001,35.34090909090909,1555
0.3541666666666667,0.0006732844049111009,48,0.44404637813568115,6,-8.70519375,1563,274,0.001,34.666666666666664,1664
0.38461538461538464,0.001784391002729535,52,0.3886665105819702,6,-8.19859475,1641,286,0.001,33.5,1742
0.42857142857142855,0.0009493881952948868,56,0.40802550315856934,6,-7.647244589285714,1664,289,0.001,31.517857142857142,1765
0.45,0.0013230657204985619,60,0.3854266107082367,6,-7.221941183333333,1733,299,0.001,30.566666666666666,1834
0.484375,0.0010435995645821095,64,0.37210431694984436,6,-6.799577312499999,1754,302,0.001,28.984375,1855
0.5147058823529411,0.0016710390336811543,68,0.3810226321220398,6,-6.46730538235294,1808,310,0.001,28.073529411764707,1909
0.5416666666666666,0.0016046876553446054,72,0.37628787755966187,6,-6.164397166666667,1862,318,0.001,27.26388888888889,1963
0.5526315789473685,0.0020984597504138947,76,0.39066922664642334,6,-5.90931777631579,1925,327,0.001,26.657894736842106,2026
0.5625,0.0022993856109678745,80,0.3973158001899719,6,-5.687544725,1987,336,0.001,26.1,2088
0.5833333333333334,0.0014144020387902856,84,0.37050068378448486,6,-5.443656154761905,2009,339,0.001,25.11904761904762,2110
0.6022727272727273,0.0016026095254346728,88,0.38917669653892517,6,-5.213960409090909,2027,342,0.001,24.181818181818183,2128
0.6086956521739131,0.001843789010308683,92,0.38677656650543213,6,-5.106904217391304,2116,353,0.001,24.097826086956523,2217
0.6145833333333334,0.0018996762810274959,96,0.37365248799324036,6,-4.9980953125,2190,364,0.001,23.864583333333332,2291
0.62,0.0016523561207577586,100,0.3675670325756073,6,-4.84533003,2253,377,0.001,23.54,2354
0.65,0.0017929006135091186,104,0.4108985662460327,6,-4.4411032,2275,381,0.001,21.97,2376
0.68,0.0028815174009650946,108,0.33741647005081177,6,-3.8875664499999996,2322,388,0.001,20.93,2423
0.69,0.0012703828979283571,112,0.3871861696243286,6,-3.6246101600000005,2426,411,0.001,20.42,2527
0.73,0.002163337077945471,116,0.3679230213165283,6,-2.7810030200000004,2448,417,0.001,18.64,2549
0.74,0.002219550544396043,120,0.3992612659931183,6,-2.655272820000001,2462,420,0.001,18.02,2563
0.78,0.002129898639395833,124,0.3308049440383911,6,-2.2526152100000005,2484,425,0.001,16.24,2585
