train/learning_rate,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss
0.001,163,4,13,0.25,0.004687637556344271,62,40.75,-12.198594,12,0.119062140583992
0.001,363,8,6,0.125,0.0020158591214567423,262,45.375,-18.6511545,54,0.22311213612556458
0.001,560,12,5,0.16666666666666666,0.0008107377216219902,459,46.666666666666664,-15.568319083333336,94,0.33257225155830383
0.001,715,16,5,0.1875,0.0007640057010576129,614,44.6875,-13.81274425,120,0.28811147809028625
0.001,915,20,5,0.15,0.0005538446130231023,814,45.75,-12.9560667,152,0.31401169300079346
0.001,1004,24,5,0.25,0.0008408285793848336,903,41.833333333333336,-11.137785791666667,169,0.298854798078537
0.001,1164,28,5,0.25,0.0007591465837322176,1063,41.57142857142857,-10.295253,199,0.3077586591243744
0.001,1233,32,5,0.3125,0.0009407646721228957,1132,38.53125,-9.328967562499999,216,0.3187862038612366
0.001,1308,36,5,0.3611111111111111,0.0010732811642810702,1207,36.333333333333336,-8.613211249999999,247,0.33542075753211975
0.001,1418,40,5,0.4,0.0013991142623126507,1317,35.45,-8.013824599999998,262,0.35772982239723206
0.001,1493,44,5,0.4318181818181818,0.0011260095052421093,1392,33.93181818181818,-7.471992613636362,275,0.3509494364261627
0.001,1558,48,5,0.4583333333333333,0.0011137097608298063,1457,32.458333333333336,-7.077541791666666,284,0.33156144618988037
0.001,1671,52,5,0.46153846153846156,0.0014295111177489161,1570,32.13461538461539,-6.829215788461538,300,0.3423469364643097
0.001,1725,56,5,0.5,0.0010295091196894646,1624,30.803571428571427,-6.426438267857143,309,0.31769540905952454
0.001,1743,60,5,0.5333333333333333,0.0016623919364064932,1642,29.05,-6.027190816666666,313,0.37025588750839233
0.001,1769,64,5,0.5625,0.001698383130133152,1668,27.640625,-5.688521546875,318,0.3923664689064026
0.001,1828,68,5,0.5735294117647058,0.0012499449076130986,1727,26.88235294117647,-5.424608073529412,332,0.29811039566993713
0.001,1843,72,5,0.5972222222222222,0.0012556412257254124,1742,25.59722222222222,-5.139782222222222,338,0.3407643437385559
0.001,1906,76,5,0.6052631578947368,0.0014901271788403392,1805,25.07894736842105,-4.971199828947368,350,0.3061266243457794
0.001,1926,80,5,0.625,0.0017118453979492188,1825,24.075,-4.7525831125,355,0.3347169756889343
0.001,1944,84,5,0.6428571428571429,0.0015645257662981749,1843,23.142857142857142,-4.54938125,359,0.3354623317718506
0.001,1965,88,5,0.6590909090909091,0.0013235979713499546,1864,22.329545454545453,-4.3697351931818185,364,0.3046329617500305
0.001,2033,92,5,0.6630434782608695,0.0011852160096168518,1932,22.097826086956523,-4.264083,383,0.3071788549423218
0.001,2049,96,5,0.6770833333333334,0.0010779222939163446,1948,21.34375,-4.102011552083334,387,0.3117019534111023
0.001,2157,100,5,0.67,0.0009939890587702394,2056,21.57,-4.03685567,422,0.2909730076789856
0.001,2165,104,5,0.7,0.001160157728008926,2064,20.02,-3.5537741500000006,423,0.3044187128543854
0.001,2188,108,5,0.74,0.0014339352492243052,2087,18.25,-2.5745097099999996,429,0.2838374376296997
0.001,2219,112,5,0.77,0.0016315029934048653,2118,16.59,-2.22477731,435,0.32124048471450806
0.001,2242,116,5,0.8,0.00147990882396698,2141,15.27,-1.90468853,439,0.3011090159416199
0.001,2260,120,5,0.84,0.0013920036144554615,2159,13.45,-1.5392668800000002,444,0.33819088339805603
0.001,2279,124,5,0.85,0.001312347361817956,2178,12.75,-1.4769470199999999,448,0.31664615869522095
0.001,2311,128,5,0.88,0.0017594504170119762,2210,11.47,-1.29867067,454,0.3737020492553711
0.001,2329,132,5,0.89,0.0013706143945455551,2228,10.96,-1.2126808099999997,459,0.2847389876842499
0.001,2346,136,5,0.9,0.00226446520537138,2245,10.38,-1.1143883499999998,463,0.33028262853622437
0.001,2365,140,5,0.91,0.0016206450527533889,2264,9.47,-1.02952109,470,0.3398621678352356
0.001,2389,144,5,0.92,0.0014516429509967566,2288,8.96,-0.9761169,477,0.31413236260414124
0.001,2410,148,4,0.93,0.0021012169308960438,2309,8.52,-0.8867602899999999,493,0.3023219108581543
0.001,2476,152,4,0.94,0.0018059207359328866,2375,8.05,-0.8151918600000001,523,0.2850673794746399
0.001,2511,156,4,0.94,0.0017845992697402835,2410,7.86,-0.8054802399999998,533,0.27665889263153076
0.001,2582,160,4,0.93,0.00188939250074327,2481,8.39,-0.8583004099999999,559,0.3379004895687103
0.001,2604,164,4,0.93,0.0016589835286140442,2503,8.35,-0.85946249,568,0.2938971519470215
0.001,2627,168,4,0.94,0.0021004811860620975,2526,7.99,-0.8325895000000001,575,0.3065875172615051
0.001,2641,172,4,0.94,0.0016768460627645254,2540,7.98,-0.8328859500000001,578,0.2430357187986374
0.001,2709,176,4,0.94,0.0024279290810227394,2608,8.03,-0.8304971200000001,597,0.26848044991493225
0.001,2730,180,4,0.94,0.001777517143636942,2629,8.04,-0.8259599299999999,602,0.3294476270675659
0.001,2745,184,4,0.94,0.0019388806540519,2644,8.01,-0.82264554,605,0.3127497732639313
0.001,2761,188,4,0.94,0.002061419887468219,2660,7.96,-0.81642056,608,0.2931143343448639
0.001,2784,192,4,0.95,0.0020433992613106966,2683,7.51,-0.7601758399999998,613,0.29406842589378357
0.001,2808,196,4,0.95,0.0016185252461582422,2707,7.59,-0.77054175,620,0.2502868175506592
0.001,2827,200,4,0.97,0.0019251967314630747,2726,6.7,-0.68953107,630,0.3169398903846741
0.001,2848,204,4,0.97,0.0019827457144856453,2747,6.83,-0.71021908,635,0.2923172414302826
0.001,2865,208,4,0.97,0.0016764604952186346,2764,6.77,-0.7038207,638,0.2546619176864624
0.001,2883,212,4,0.97,0.0019556861370801926,2782,6.64,-0.69438234,643,0.2690659463405609
0.001,2899,216,4,0.97,0.0017245744820684195,2798,6.57,-0.6905365299999999,645,0.2860340476036072
0.001,2920,220,4,0.97,0.0021798398811370134,2819,6.6,-0.69368943,649,0.27744561433792114
0.001,2986,224,4,0.96,0.0017137457616627216,2885,7.07,-0.72973822,661,0.28288665413856506
0.001,2998,228,4,0.96,0.0014805548125877976,2897,6.87,-0.70980796,664,0.24614596366882324
0.001,3020,232,4,0.96,0.0014083008281886578,2919,6.91,-0.7110608099999999,668,0.24313093721866608
0.001,3044,236,4,0.96,0.0023655486293137074,2943,6.98,-0.7195604899999998,673,0.2530075013637543
0.001,3056,240,4,0.96,0.0020171282812952995,2955,6.91,-0.70970624,674,0.2677987813949585
0.001,3073,244,4,0.96,0.0018659015186131,2972,6.84,-0.6975251000000001,677,0.28531527519226074
0.001,3087,248,4,0.96,0.002001396147534251,2986,6.77,-0.68844031,679,0.2790743410587311
0.001,3105,252,4,0.97,0.002290820935741067,3004,6.29,-0.62454136,682,0.26112473011016846
0.001,3118,256,4,0.97,0.0024510791990906,3017,6.07,-0.5987331800000001,684,0.22714687883853912
0.001,3136,260,4,0.98,0.00199494743719697,3035,5.54,-0.5437725,690,0.2864530384540558
0.001,3179,264,4,0.98,0.0013896350283175707,3078,5.75,-0.55849011,700,0.25019726157188416
0.001,3199,268,4,0.98,0.001982893329113722,3098,5.72,-0.55709293,704,0.2678096294403076
0.001,3216,272,4,0.98,0.0020785597153007984,3115,5.75,-0.5623976900000001,707,0.25676408410072327
0.001,3232,276,4,0.99,0.0020809457637369633,3131,5.23,-0.50200838,711,0.23767952620983124
0.001,3251,280,4,0.99,0.0018037745030596852,3150,5.21,-0.50294802,718,0.2973942756652832
0.001,3266,284,4,0.99,0.0015298391226679087,3165,5.21,-0.5018559,724,0.2492866814136505
0.001,3285,288,4,0.99,0.0018001673743128777,3184,5.24,-0.50488809,729,0.26324141025543213
0.001,3305,292,4,0.99,0.0019717211835086346,3204,5.21,-0.50624084,734,0.2434174120426178
0.001,3320,296,4,0.99,0.0015682694502174854,3219,5.12,-0.49455290999999996,737,0.23286965489387512
0.001,3332,300,4,0.99,0.0016818534350022674,3231,5.05,-0.48711337,740,0.26463159918785095
0.001,3351,304,4,0.99,0.0018274168251082301,3250,5.03,-0.48204873,751,0.22179625928401947
0.001,3367,308,4,0.99,0.0017579502891749144,3266,5.02,-0.47846507000000005,755,0.2679927349090576
0.001,3385,312,4,0.99,0.0018647868419066072,3284,5.02,-0.4809796,764,0.23737123608589172
0.001,3399,316,4,0.99,0.001966777490451932,3298,5.0,-0.47518936000000006,767,0.24520163238048553
0.001,3418,320,4,0.99,0.0019373722607269883,3317,4.98,-0.4744277700000001,771,0.22934885323047638
0.001,3436,324,4,1.0,0.0015790124889463186,3335,4.5,-0.43584682,777,0.28932565450668335
0.001,3499,328,4,0.99,0.0015705334953963757,3398,5.01,-0.4926036300000001,792,0.23320354521274567
0.001,3517,332,4,0.99,0.0015881056897342205,3416,4.97,-0.4941923000000001,795,0.24609330296516418
0.001,3536,336,4,0.99,0.001853979891166091,3435,4.92,-0.48679171,806,0.23944801092147827
